ID;Etapa;Ação;Ator;Contexto;Suporte Pedagógico;Categorias
2;Orientação;Professor introduz a migração dos salmões com uma pergunta investigativa para estimular brainstorming;Professor;"""During the pre-investigation stage, teachers introduced the phenomenon of salmon migration with a common question, “Have you ever observed any unusual animal behavior situations before?” to stimulate brainstorming and gather their opinions.""";Pergunta investigativa via BYOD;Introdução com pergunta
2;Orientação;Alunos realizam brainstorming após assistir a vídeo de ursos e aplicam a tarefa see‑think‑wonder;Alunos;"""Subsequently, students were assigned to watch a video of grizzly bears catching salmon and engage them in a see‑think‑wonder task to promote a personal learning process.""";Vídeo contextual + estratégia see‑think‑wonder;Introdução com recurso multimídia
2;Orientação;Professor mobiliza dispositivos BYOD para que alunos visualizem a questão essencial de investigação;Professor;"""In the science class, the teacher engaged the students with an inquiry question to perform the inquiry via BYOD method, as displayed in part A in Figure 1.""";Modelo BYOD;Introdução com pergunta
2;Orientação;Professor revisa o tema anterior e fornece feedback baseado em respostas coletadas no Nearpod;Professor;"""Initially, the teacher reviewed what they learned from the last topic and gave feedback on students’ queries regarding the first topic, obtained from Nearpod platform.""";Nearpod (formative assessment);Quiz / enquete / avaliação formativa
2;Conceituação;Professor propõe a questão procedimental “How do we increase the salmon population?” para orientar formulação de hipóteses;Professor;"""A procedural knowledge question, “How do we increase the salmon population?” has been posted to the class.""";Questionamento orientador;Navegação guiada
2;Conceituação;Alunos respondem a perguntas prescritivas em vídeo interativo H5P sobre estratégias de restauração populacional;Alunos;"""Students actively engaged with and responded to prescriptive questions and prompting in an interactive H5P video that focused on how scientists can increase the salmon population through research and restoration partnerships, hatchery innovations, or dam removal.""";H5P interactive video;Navegação guiada
2;Conceituação;Alunos analisam hipóteses sobre homing dos salmões em vídeo H5P, contrastando diferentes explicações;Alunos;"""Following this, students engaged with an interactive H5P video that presented various hypotheses about how salmon can find their way back home.""";H5P interactive video;Inferência a partir de material fornecido pelo professor
2;Conceituação;Professor comunica ideias‑chave de NOSI para estruturar o conhecimento conceitual após a lição;Professor;"""In concluding phase, two main ideas about NOSI were presented and then communicated to the whole class.""";Exposição dialogada + Nearpod;Apresentação direta da informação
2;Investigação;Alunos investigam de forma autodirigida vídeo H5P sobre salmões subindo o rio durante 20 minutos;Alunos;"""In second stage of self‑investigation, all students interacted independently with a video related to salmon swimming upstream via H5P interactive video, which lasted for 20 minutes.""";H5P interactive video (auto‑direcionado);Simulação / material interativo | Navegação guiada
2;Investigação;Alunos imergem em cenários de homing dos salmões e respondem questões aplicadas;Alunos;"""This activity immersed students in different scenarios related to salmon’s homing behavior, and they were required to answer questions about these situations.""";H5P interactive video;Jogos / ambientes gamificados
2;Investigação;Alunos utilizam tablets pessoais no modelo BYOD para coleta de evidências na investigação;Alunos;"""Then, the students were allowed to interact with a self‑directed interactive video using tablets, as displayed in part B in Figure 1.""";Tablets BYOD + vídeo interativo;Coleta de evidências / dados qualitativos
2;Investigação;Alunos aplicam avaliação formativa Nearpod para testar compreensões emergentes durante a investigação;Alunos;"""Students participated in a formative assessment of the four main ideas...""";Nearpod (formative assessment);Quiz / enquete / avaliação formativa
2;Conclusão;Professor comunica duas ideias principais de NOSI e conclui com evidências empíricas;Professor;"""Then, the teacher communicated two main ideas about NOSI... and conclude with empirical information obtained from interaction with H5P interactive video and collaborative discussion with Nearpod platform.""";Síntese guiada + Nearpod;Conexão entre prática e teoria
2;Conclusão;Professor resume achados e conecta‑os a pesquisas sobre homing dos salmões;Professor;"""In the final stage, the teacher summarized the findings from the video and connected them to examples of salmon homing research from journal papers.""";Exemplificação baseada em pesquisa;Conexão entre prática e teoria
2;Conclusão;Turma reconstrói esquemas mentais em comunicação de classe sobre a pergunta investigativa;Professor e Alunos;"""At the end of class, a class communication has been organized to discuss the main idea to reconstruct new mental sets addressing the inquiry question.""";Discussão plenária + Nearpod;Atividade metacognitiva
2;Conclusão;Alunos avaliam compreensão dos quatro conceitos de NOSI em avaliação formativa;Alunos;"""Students participated in a formative assessment of the four main ideas...""";Nearpod formative assessment;Quiz / enquete / avaliação formativa
2;Discussão;Professores e alunos discutem observações do vídeo H5P focando NOSI via Nearpod;Professor e Alunos;"""Teachers and students discussed what they observed in H5P interactive video, focusing on NOSI, via Nearpod platform.""";Nearpod;Discussão não mediada por tecnologia | Discussão aberta
2;Discussão;Alunos participam de discussões em grupo no Nearpod para compartilhar perspectivas;Alunos;"""Students participated in a formative assessment of the four main ideas and then engaged in group discussions through Nearpod platform.""";Nearpod (grupo);Comunicação mediada por tecnologia | Colaboração estruturada
2;Discussão;Professor promove discurso colaborativo sobre visualizações científicas;Professor;"""Promoting classroom discourse and collaboration centered around the visualization of scientific phenomena. This stage leveraged Nearpod student-response system to facilitate group discussions on the core concept...""";Nearpod student‑response system;Colaboração estruturada | Discussão não mediada por tecnologia
2;Discussão;Alunos compartilham insights e evidências para sustentar explicações coletivas;Alunos;"""At the end of class, a class communication has been organized to discuss the main idea...""";Discussão de classe + Nearpod;Comunicação mediada por tecnologia | Discussão aberta
13;Orientação;Apresentar contexto e objetivo via dramatização 'jovem cientista'.;Professor;The teacher began with a context and introduction by putting the student in the position of an experimenter and more particularly a “young scientist” through a role‑play scenario that presents the objective of the session.;Role‑play scenario;Roleplay
13;Orientação;Exibir imagens com explicações sobre o movimento aparente do Sol.;Professor;Image of the apparent movement of the Sun with explanatory prompt guiding text inviting students to focus on the most important information.;Imagem + texto explicativo;Introdução com recurso multimídia
13;Orientação;Responder quiz sobre dia e noite e refletir com feedback para corrigir respostas.;Alunos;Image of the Earth (day and night) and quiz available on tablets with prompt feedback inviting students to reflect and respond again if the answer is wrong or continue if the answer is right.;Quiz com feedback (tablet/papel);Introdução com recurso multimídia
13;Conceituação;Discutir em grupos e listar hipóteses sobre a alternância dia‑noite.;Alunos;Tablet prompt guidance inviting students to discuss and list hypotheses with the teacher.;Prompts no tablet;Levantamento de hipóteses
13;Conceituação;Estimular discussão e registrar hipóteses formuladas pelos alunos.;Professor;Teacher invites students to discuss and list hypotheses.;Orientação oral do professor;Levantamento de hipóteses
13;Investigação;Manipular globo e lanterna em pequenos grupos para modelar o fenômeno.;Alunos;Throughout this activity, students worked in small groups with torchlights representing the Sun and Earth globes in order to check their hypotheses.;Globo + lanterna;Laboratório físico
13;Investigação;Introduzir sentido de rotação da Terra e demonstrar utilizando o modelo físico.;Professor;the teacher introduced the Earth’s direction of rotation, its axis of rotation and its rotational motion to help students continue the activities on their own.;Demonstração com globo e explicação oral;Demonstração / exemplos / comparações / diretrizes
13;Investigação;Assistir a animação 3D com prompts para focar nos aspectos principais.;Alunos;Short movie of day and night alternation on tablets with prompt guidance inviting students to be focused on the most important aspects of the movie.;Animação 3D + prompts;Simulação / material interativo | Navegação guiada
13;Conclusão;Ler texto e assistir vídeo sobre o sistema solar com prompts de síntese.;Alunos;Reading a text and viewing a short movie of the solar system on tablets with prompt guidance inviting students to focus on the most important aspects of the text and the movie.;Texto + vídeo com prompts;Conexão entre prática e teoria
13;Conclusão;Conduzir síntese final da resposta à pergunta inicial.;Professor;Finally, the teacher led the students to answer the question posed at the beginning of the session.;Orientação oral;Conexão entre prática e teoria
13;Conclusão;Elaborar conclusão baseada nos experimentos realizados.;Alunos;The students concluded with the experiments carried out in class.;Resultados dos experimentos;Produção de relatório
13;Discussão;Participar de discussão em plenário para compartilhar descobertas.;Alunos;the inquiry process allowed students to alternate between individual work, small work groups (3 students) and a whole-class group for the discussion phase.;Discussão em grupo‑turma;Discussão não mediada por tecnologia | Discussão aberta
